image_path,text,bbox,has_bbox,image_width,image_height,text_length,word_count
Hackathon data\SROIE2019\train\img\X00016469612.jpg,TAN WOON YANN,"[72, 25, 326, 64]",True,463,1013,13,3
Hackathon data\SROIE2019\train\img\X00016469612.jpg,BOOK TA .K(TAMAN DAYA) SDN BND,"[50, 82, 440, 121]",True,463,1013,30,6
Hackathon data\SROIE2019\train\img\X00016469612.jpg,789417-W,"[205, 121, 285, 139]",True,463,1013,8,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,"NO.53 55,57 & 59, JALAN SAGU 18,","[110, 144, 383, 163]",True,463,1013,32,7
Hackathon data\SROIE2019\train\img\X00016469612.jpg,"TAMAN DAYA,","[192, 169, 299, 187]",True,463,1013,11,2
Hackathon data\SROIE2019\train\img\X00016469612.jpg,"81100 JOHOR BAHRU,","[162, 193, 334, 211]",True,463,1013,18,3
Hackathon data\SROIE2019\train\img\X00016469612.jpg,JOHOR.,"[217, 216, 275, 233]",True,463,1013,6,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,DOCUMENT NO : TD01167104,"[50, 342, 279, 359]",True,463,1013,24,4
Hackathon data\SROIE2019\train\img\X00016469612.jpg,DATE:,"[50, 372, 96, 390]",True,463,1013,5,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,25/12/2018 8:13:39 PM,"[165, 372, 342, 389]",True,463,1013,21,3
Hackathon data\SROIE2019\train\img\X00016469612.jpg,CASHIER:,"[48, 396, 117, 415]",True,463,1013,8,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,MANIS,"[164, 397, 215, 413]",True,463,1013,5,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,MEMBER:,"[49, 423, 122, 440]",True,463,1013,7,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,CASH BILL,"[191, 460, 298, 476]",True,463,1013,9,2
Hackathon data\SROIE2019\train\img\X00016469612.jpg,CODE/DESC,"[30, 508, 121, 523]",True,463,1013,9,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,PRICE,"[200, 507, 247, 521]",True,463,1013,5,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,DISC,"[276, 506, 306, 522]",True,463,1013,4,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,AMOUNT,"[374, 507, 441, 521]",True,463,1013,6,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,QTY,"[69, 531, 102, 550]",True,463,1013,3,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,RM,"[221, 531, 247, 545]",True,463,1013,2,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,RM,"[420, 529, 443, 547]",True,463,1013,2,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,9556939040116,"[27, 570, 137, 583]",True,463,1013,13,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,KF MODELLING CLAY KIDDY FISH,"[159, 570, 396, 584]",True,463,1013,28,5
Hackathon data\SROIE2019\train\img\X00016469612.jpg,1 PC,"[77, 598, 113, 613]",True,463,1013,4,2
Hackathon data\SROIE2019\train\img\X00016469612.jpg,*,"[138, 597, 148, 607]",True,463,1013,1,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,9.000,"[202, 597, 245, 612]",True,463,1013,5,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,0.00,"[275, 598, 309, 612]",True,463,1013,4,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,9.00,"[411, 596, 443, 613]",True,463,1013,4,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,TOTAL:,"[245, 639, 293, 658]",True,463,1013,6,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,ROUR DING ADJUSTMENT:,"[118, 671, 291, 687]",True,463,1013,21,3
Hackathon data\SROIE2019\train\img\X00016469612.jpg,0.00,"[408, 669, 443, 684]",True,463,1013,4,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,ROUND D TOTAL (RM):,"[86, 704, 292, 723]",True,463,1013,19,4
Hackathon data\SROIE2019\train\img\X00016469612.jpg,9.00,"[401, 703, 443, 719]",True,463,1013,4,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,CASH,"[205, 744, 243, 765]",True,463,1013,4,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,10.00,"[402, 748, 441, 763]",True,463,1013,5,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,CHANGE,"[205, 770, 271, 788]",True,463,1013,6,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,1.00,"[412, 772, 443, 786]",True,463,1013,4,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,GOODS SOLD ARE NOT RETURNABLE OR,"[97, 845, 401, 860]",True,463,1013,32,6
Hackathon data\SROIE2019\train\img\X00016469612.jpg,EXCHANGEABLE,"[190, 864, 309, 880]",True,463,1013,12,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,***,"[142, 883, 353, 901]",True,463,1013,3,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,***,"[137, 903, 351, 920]",True,463,1013,3,1
Hackathon data\SROIE2019\train\img\X00016469612.jpg,THANK YOU,"[202, 942, 292, 959]",True,463,1013,9,2
Hackathon data\SROIE2019\train\img\X00016469612.jpg,PLEASE COME AGAIN !,"[163, 962, 330, 977]",True,463,1013,19,4
Hackathon data\SROIE2019\train\img\X00016469612.jpg,9.00,"[412, 639, 442, 654]",True,463,1013,4,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,TAN WOON YANN,"[76, 50, 323, 84]",True,439,1004,13,3
Hackathon data\SROIE2019\train\img\X00016469619.jpg,INDAH GIFT & HOME DECO,"[110, 165, 315, 188]",True,439,1004,22,5
Hackathon data\SROIE2019\train\img\X00016469619.jpg,"27,JALAN DEDAP 13,","[126, 191, 297, 214]",True,439,1004,18,3
Hackathon data\SROIE2019\train\img\X00016469619.jpg,"TAMAN JOHOR JAYA,","[129, 218, 287, 236]",True,439,1004,17,3
Hackathon data\SROIE2019\train\img\X00016469619.jpg,"81100 JOHOR BAHRU,JOHOR.","[100, 243, 324, 261]",True,439,1004,24,3
Hackathon data\SROIE2019\train\img\X00016469619.jpg,TEL:07-3507405,"[70, 268, 201, 285]",True,439,1004,14,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,FAX:07-3558160,"[221, 267, 356, 286]",True,439,1004,14,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,RECEIPT,"[177, 317, 241, 336]",True,439,1004,7,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,19/10/2018 20:49:59 #01,"[16, 364, 257, 392]",True,439,1004,23,3
Hackathon data\SROIE2019\train\img\X00016469619.jpg,CASHIER: CN,"[25, 395, 132, 412]",True,439,1004,11,2
Hackathon data\SROIE2019\train\img\X00016469619.jpg,LOCATION/SP: 05 /0531,"[181, 393, 390, 410]",True,439,1004,21,3
Hackathon data\SROIE2019\train\img\X00016469619.jpg,MB: MO26588,"[26, 445, 129, 463]",True,439,1004,11,2
Hackathon data\SROIE2019\train\img\X00016469619.jpg,ROOM NO: 01,"[25, 468, 127, 489]",True,439,1004,11,3
Hackathon data\SROIE2019\train\img\X00016469619.jpg,050100035279,"[286, 466, 400, 488]",True,439,1004,12,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,DESC/ITEM,"[24, 518, 114, 538]",True,439,1004,9,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,QTY,"[182, 519, 213, 538]",True,439,1004,3,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,PRICE,"[239, 518, 288, 534]",True,439,1004,5,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,AMT(RM),"[308, 517, 371, 534]",True,439,1004,7,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,ST-PRIVILEGE CARD/GD INDAH,"[25, 543, 273, 559]",True,439,1004,26,3
Hackathon data\SROIE2019\train\img\X00016469619.jpg,88888,"[26, 570, 73, 586]",True,439,1004,5,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,1,"[201, 565, 218, 588]",True,439,1004,1,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,10.00,"[238, 566, 294, 589]",True,439,1004,5,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,10.00,"[319, 561, 382, 586]",True,439,1004,5,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,GF-TABLE LAMP/STITCH <I>,"[22, 591, 257, 613]",True,439,1004,24,3
Hackathon data\SROIE2019\train\img\X00016469619.jpg,62483,"[24, 616, 78, 636]",True,439,1004,5,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,1,"[196, 615, 222, 636]",True,439,1004,1,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,55.90,"[233, 610, 292, 634]",True,439,1004,5,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,55.90,"[312, 612, 376, 635]",True,439,1004,5,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,@DISC,"[147, 641, 194, 660]",True,439,1004,5,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,10.00%,"[216, 642, 270, 661]",True,439,1004,6,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,-5.59,"[318, 641, 378, 662]",True,439,1004,5,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,#TOTAL QTY,"[25, 668, 122, 691]",True,439,1004,10,2
Hackathon data\SROIE2019\train\img\X00016469619.jpg,2,"[157, 663, 185, 687]",True,439,1004,1,1
Hackathon data\SROIE2019\train\img\X00016469619.jpg,TOTAL AMT................. RM,"[26, 693, 280, 712]",True,439,1004,29,3
